"","SCode","total_35_64","geometry"
"4046","6003099",394,c(-121.883110000523, 39.779849999864)
"4047","6003107",794,c(-121.812199999704, 39.7508399996073)
"4048","6003115",470,c(-121.804650000374, 39.6467199998642)
"4049","6003131",779,c(-121.562715999556, 39.651743000271)
"4050","6003156",397,c(-121.697969999626, 39.362940000358)
"4051","6003164",397,c(-121.699620000175, 39.3623600001611)
"4052","6003172",397,c(-121.691060000437, 39.3626200001504)
"4053","6003198",446,c(-121.658559999614, 39.3347600002311)
"4054","6003230",701,c(-121.543450000324, 39.5032899996466)
"4055","6003255",631,c(-121.545479999647, 39.4797699997685)
"4056","6003263",837,c(-121.494360000234, 39.4983900000134)
"4057","6003271",701,c(-121.535040000258, 39.5141299998665)
"4058","6003289",631,c(-121.535120000562, 39.4752400004007)
"4059","6003297",579,c(-121.546789999737, 39.4368799997735)
"4060","6003321",1554,c(-121.613205213026, 39.7509789046408)
"4061","6003354",606,c(-121.579439999787, 39.5258199996925)
"4062","6003362",606,c(-121.611280000312, 39.5126000004182)
"4063","6003370",606,c(-121.589100000056, 39.5091800003139)
"4064","6003388",382,c(-120.641170000233, 37.9819699998201)
"4065","6003396",1402,c(-120.342699999548, 38.2640300002618)
"4066","6003404",594,c(-120.697959999996, 38.2990500000686)
"4067","6003438",682,c(-120.677020000075, 38.1990100001733)
"4068","6003446",387,c(-120.832880000183, 38.1907299995739)
"4069","6003453",1170,c(-120.526109999633, 38.3981399997097)
"4070","6003461",842,c(-120.550900000339, 38.0751599996511)
"4071","6003495",191,c(-122.008739999705, 39.2080399996781)
"4072","6003503",212,c(-122.193219999913, 39.2801700000125)
"4073","6003511",237,c(-122.06024999998, 39.0159199997548)
"4074","6003537",197,c(-121.896839999988, 39.0695499998436)
"4075","6003552",176,c(-122.159579999741, 39.153229999869)
"4076","6003578",180,c(-121.800489999718, 37.9956100004113)
"4077","6003594",180,c(-121.811559999517, 38.0078599995588)
"4078","6003602",180,c(-121.801740000484, 38.0076200002752)
"4079","6003610",232,c(-121.816219999641, 37.9998599997373)
"4080","6003628",232,c(-121.812709999861, 37.985010000398)
"4081","6003636",179,c(-121.850919999729, 38.0024900004008)
"4082","6003644",167,c(-121.707889999674, 37.9286999996762)
"4083","6003651",167,c(-121.690719999803, 37.9306999996068)
"4084","6003669",140,c(-121.640509999497, 37.8776599995922)
"4085","6003677",838,c(-122.166500000254, 37.8307600003348)
"4086","6003685",389,c(-122.221719999481, 38.0517500000458)
"4087","6003701",350,c(-122.269190000197, 38.0313300001966)
"4088","6003719",159,c(-121.660980000284, 37.9685200002708)
"4089","6003727",807,c(-122.093530000019, 37.8620600000407)
"4090","6003743",850,c(-122.141869999809, 37.9044600000707)
"4091","6003750",733,c(-122.117360000186, 37.8888399999332)
"4092","6003768",733,c(-122.113780000476, 37.8871100002634)
"4093","6003792",733,c(-122.101869999995, 37.9077300003121)
"4094","6003826",323,c(-122.120089999571, 38.0000699995994)
"4095","6003834",503,c(-122.124299999834, 37.9814899996279)
"4096","6003842",323,c(-122.092689999971, 38.0082799998952)
"4097","6003875",323,c(-122.098890000142, 38.0013599999823)
"4098","6003909",807,c(-122.121930000296, 37.8216700004242)
"4099","6003917",838,c(-122.132540000095, 37.8580799998032)
"4100","6003925",838,c(-122.130890000563, 37.8255999998884)
"4101","6003933",838,c(-122.136519999577, 37.8469099998308)
"4102","6003958",298,c(-121.960609999446, 37.9657200000088)
"4103","6003966",477,c(-122.037850000494, 37.9293300001178)
"4104","6003974",258,c(-121.93797000013, 38.0203900003829)
"4105","6003982",302,c(-122.04539000025, 37.9543400002525)
"4106","6004030",298,c(-121.990850000531, 37.9764599995637)
"4107","6004048",302,c(-122.012939999499, 37.9680900000271)
"4108","6004055",302,c(-122.050640000123, 37.9444500000054)
"4109","6004063",477,c(-122.015970000398, 37.921009999577)
"4110","6004097",503,c(-122.08909999975, 37.9825099998124)
"4111","6004105",298,c(-121.957000000526, 37.9421399998311)
"4112","6004154",302,c(-122.039999999695, 37.9655000003444)
"4113","6004162",302,c(-122.005029999833, 37.9874499999872)
"4114","6004170",298,c(-121.980570000436, 37.9697599998195)
"4115","6004188",298,c(-121.939139999754, 37.9418400002127)
"4116","6004196",302,c(-122.034360000465, 37.9391899996222)
"4117","6004220",298,c(-121.954950000042, 37.9408400000102)
"4118","6004238",302,c(-122.003200000043, 37.9852800001975)
"4119","6004246",733,c(-122.083229999945, 37.9328599999311)
"4120","6004253",503,c(-122.069050000146, 37.9441099998213)
"4121","6004261",258,c(-121.96665999961, 38.0331700003886)
"4122","6004295",258,c(-121.970059999462, 38.035660000124)
"4123","6004303",298,c(-121.972100000519, 37.9633499999066)
"4124","6004311",503,c(-122.077359999773, 37.9503900002028)
"4125","6004329",235,c(-122.029620000287, 38.0006599995979)
"4126","6004337",503,c(-122.080809999882, 37.9675300001512)
"4127","6004345",477,c(-122.014299999915, 37.9337799996634)
"4128","6004352",503,c(-122.067520000002, 37.9653100000293)
"4129","6004360",477,c(-122.02015000023, 37.9183400000244)
"4130","6004378",298,c(-121.991849999982, 37.9756000001834)
"4131","6004394",302,c(-122.018509999701, 37.9400400003672)
"4132","6004402",302,c(-122.015869999907, 37.980789999798)
"4133","6004410",302,c(-122.029710000257, 37.9498399996017)
"4134","6004428",177,c(-121.716699999797, 37.9942899998694)
"4135","6004444",838,c(-122.153010000326, 37.8462700001744)
"4136","6004451",838,c(-122.162629999789, 37.8717999996159)
"4137","6004477",838,c(-122.146979999949, 37.8510099999921)
"4138","6004501",700,c(-122.200359999577, 37.9087300002876)
"4139","6004527",215,c(-121.89867000026, 38.0057300003026)
"4140","6004535",299,c(-121.885989999453, 37.9985400003446)
"4141","6004543",215,c(-121.900800000124, 38.0168799997648)
"4142","6004568",215,c(-121.900250000243, 38.0218999996846)
"4143","6004576",215,c(-121.926469999486, 38.0239999999305)
"4144","6004600",426,c(-122.347429999673, 37.9750100000947)
"4145","6004659",350,c(-122.288620000172, 38.0011900002225)
"4146","6004667",494,c(-122.349309999647, 37.9276300002115)
"4147","6004691",426,c(-122.350409999481, 37.9586000002074)
"4148","6004733",474,c(-122.272690000062, 37.9817099996622)
"4149","6004741",426,c(-122.328519999504, 37.9710700001996)
"4150","6004758",600,c(-122.304379999497, 37.9079300002358)
"4151","6004766",426,c(-122.341949999464, 37.9507700003671)
"4152","6004774",426,c(-122.345159999935, 37.9424300001519)
"4153","6004782",600,c(-122.294399999539, 37.902820000165)
"4154","6004808",600,c(-122.278770000378, 37.9143000003819)
"4155","6004824",426,c(-122.35338999994, 37.9710200003734)
"4156","6004832",494,c(-122.364430000281, 37.9321899996492)
"4157","6004840",600,c(-122.298199999499, 37.9278999999097)
"4158","6004857",426,c(-122.314030000431, 37.9408799995609)
"4159","6004865",426,c(-122.336190000089, 37.9950600001431)
"4160","6004873",474,c(-122.291600000563, 37.9755500003585)
"4161","6004881",494,c(-122.359689999821, 37.9279900002895)
"4162","6004899",474,c(-122.270949999855, 37.9572200003744)
"4163","6004907",426,c(-122.364599999739, 37.9433899998979)
"4164","6004915",494,c(-122.332109999449, 37.9291600003215)
"4165","6004931",426,c(-122.326639999696, 37.9523400002318)
"4166","6004956",474,c(-122.311569999824, 37.9996600003034)
"4167","6004964",474,c(-122.297520000032, 37.9670800003982)
"4168","6004972",494,c(-122.323079999916, 37.920010000346)
"4169","6004980",474,c(-122.290739999807, 37.9898700001373)
"4170","6004998",426,c(-122.313100000177, 37.9940499997185)
"4171","6005003",474,c(-122.28328000026, 37.9715690000687)
"4172","6005011",426,c(-122.363089999913, 37.9616399998954)
"4173","6005037",506,c(-122.381559999933, 37.9245300002994)
"4174","6005045",426,c(-122.328621978825, 37.9399619936328)
"4175","6005060",622,c(-122.029980000207, 37.8672399999526)
"4176","6005078",598,c(-121.977750000408, 37.8019900002862)
"4177","6005086",660,c(-121.940159999548, 37.7285200003503)
"4178","6005094",512,c(-121.979449999538, 37.8333899996835)
"4179","6005102",598,c(-121.985710000457, 37.8077000000648)
"4180","6005110",512,c(-121.981270000169, 37.8387299999146)
"4181","6005128",622,c(-122.004770000104, 37.8195599997903)
"4182","6005136",622,c(-122.028020000001, 37.8412000002265)
"4183","6005144",622,c(-122.020639999734, 37.857110000272)
"4184","6005151",512,c(-121.986040000257, 37.8252899997551)
"4185","6005169",733,c(-122.070149999587, 37.9133699998067)
"4186","6005177",477,c(-122.032809999895, 37.9006599999589)
"4187","6005185",477,c(-122.047950000019, 37.8838699996378)
"4188","6005193",733,c(-122.067400000115, 37.887169999549)
"4189","6005235",477,c(-122.056179999786, 37.9097100001757)
"4190","6005243",477,c(-122.037409999995, 37.8944000000819)
"4191","6005375",1653,c(-124.210130000069, 41.7669900003933)
"4192","6005383",1653,c(-124.203530000588, 41.7563700001404)
"4193","6005391",1653,c(-124.2059999995, 41.7556700000051)
"4194","6005417",2160,c(-124.052749999417, 41.5560699997177)
"4195","6005425",2954,c(-123.962559999929, 41.8466099998204)
"4196","6005433",1653,c(-124.194380000576, 41.785359999619)
"4197","6005441",2016,c(-124.149489999527, 41.8699299999641)
"4198","6005458",2072,c(-124.152310000544, 41.9272799995796)
"4199","6005466",819,c(-120.915240000314, 38.669409999754)
"4200","6005474",530,c(-121.07971000022, 38.6585199996689)
"4201","6005482",1144,c(-120.67658000016, 38.7328699996915)
"4202","6005490",1343,c(-120.833389999674, 38.9081900000873)
"4203","6005508",1005,c(-120.717240000043, 38.6941099997812)
"4204","6005516",863,c(-120.890140000428, 38.7720500000828)
"4205","6005524",1240,c(-120.577529999916, 38.5811599995724)
"4206","6005540",393,c(-119.95954000015, 38.9399700004128)
"4207","6005565",618,c(-119.974880000058, 38.9360800003975)
"4208","6005573",728,c(-120.003589999589, 38.9219900000314)
"4209","6005581",487,c(-120.990279999942, 38.5559960002163)
"4210","6005615",897,c(-120.829550000293, 38.7081400001369)
"4211","6005623",838,c(-121.022129999724, 38.8719200000297)
"4212","6005631",850,c(-120.713590000287, 38.6059899996173)
"4213","6005649",897,c(-120.816309999802, 38.7359500004507)
"4214","6005656",956,c(-120.777069999582, 38.7355400001608)
"4215","6005664",956,c(-120.792500000559, 38.7286699995735)
"4216","6005680",1193,c(-120.588419999573, 38.7658500002114)
"4217","6005706",533,c(-121.080469999778, 38.7041200002802)
"4218","6005714",855,c(-120.965289999516, 38.7066099997051)
"4219","6005722",1255,c(-120.311379999443, 38.7727899996011)
"4220","6005730",57,c(-119.796030000087, 36.5539999998954)
"4221","6005748",118,c(-119.842129999485, 36.6335600000652)
"4222","6005763",1015,c(-119.2489600003, 37.2039099996865)
"4223","6005789",59,c(-120.017170000214, 36.8053900003265)
"4224","6005797",42,c(-119.989089999857, 36.4922799999145)
"4225","6005805",36,c(-120.321119999857, 36.5019900002031)
"4226","6005813",47,c(-119.832429999811, 36.5371300004182)
"4227","6005839",78,c(-119.504110000356, 36.5543499997328)
"4228","6005847",97,c(-119.72305999997, 36.8255499996345)
"4229","6005854",106,c(-119.674100000006, 36.8530600002203)
"4230","6005862",104,c(-119.767479999737, 36.8599400001252)
"4231","6005870",91,c(-119.682609999991, 36.8094899997134)
"4232","6005888",103,c(-119.815889999879, 36.8416700000061)
"4233","6005904",97,c(-119.703340000068, 36.8151099998907)
"4234","6005912",110,c(-119.710169999484, 36.8025000000631)
"4235","6005920",91,c(-119.672440000105, 36.7570000002204)
"4236","6005938",97,c(-119.705489999628, 36.8281299996624)
"4237","6005961",50,c(-120.098910000187, 36.2089500002432)
"4238","6005979",108,c(-120.364389999806, 36.1458900003794)
"4239","6005995",28,c(-120.454010000277, 36.8587099999101)
"4240","6006001",28,c(-120.447309999535, 36.8543999998767)
"4241","6006019",28,c(-120.450000000099, 36.8537099996569)
"4242","6006027",101,c(-119.678899999866, 36.6330199998049)
"4243","6006043",110,c(-119.733129999637, 36.6795199999653)
"4244","6006050",101,c(-119.673899999959, 36.63535000021)
"4245","6006068",154,c(-119.836820000417, 36.7642300004399)
"4246","6006076",122,c(-119.737769999472, 36.7131500002295)
"4247","6006084",104,c(-119.798369999921, 36.8179999996125)
"4248","6006092",144,c(-119.774249999495, 36.7767899998827)
"4249","6006100",144,c(-119.809320000398, 36.8074900000086)
"4250","6006118",122,c(-119.739959999852, 36.7444400004032)
"4251","6006126",164,c(-119.753349999592, 36.7074600001538)
"4252","6006142",144,c(-119.760380000033, 36.7879399997583)
"4253","6006159",164,c(-119.807840000202, 36.7323999996773)
"4254","6006183",144,c(-119.794540000457, 36.7932199999122)
"4255","6006191",122,c(-119.717289999604, 36.7434799997166)
"4256","6006217",110,c(-119.738049999513, 36.7696200003941)
"4257","6006225",110,c(-119.733240000226, 36.7583999999585)
"4258","6006233",103,c(-119.863579999476, 36.8271199999375)
"4259","6006258",154,c(-119.822790000403, 36.7677500002095)
"4260","6006266",103,c(-119.814469999953, 36.8164800002645)
"4261","6006274",144,c(-119.794889999706, 36.7638599998179)
"4262","6006282",144,c(-119.780219999874, 36.8030500000058)
"4263","6006290",154,c(-119.830619999449, 36.7745299999902)
"4264","6006308",164,c(-119.761959999716, 36.7416200003359)
"4265","6006316",164,c(-119.778899999586, 36.7452999998668)
"4266","6006324",164,c(-119.787159999523, 36.7154999997633)
"4267","6006332",104,c(-119.804790000501, 36.8309400002557)
"4268","6006357",122,c(-119.740380000384, 36.7304900004129)
"4269","6006365",164,c(-119.795699999985, 36.7237900000206)
"4270","6006373",164,c(-119.796199999539, 36.745030000186)
"4271","6006381",103,c(-119.832519999638, 36.8208800000917)
"4272","6006407",144,c(-119.769570000046, 36.7634200000733)
"4273","6006415",144,c(-119.80708000012, 36.7552599996427)
"4274","6006423",110,c(-119.74371000012, 36.7676599998982)
"4275","6006431",144,c(-119.810310000041, 36.7951300000974)
"4276","6006449",144,c(-119.778259999618, 36.7926900000127)
"4277","6006456",104,c(-119.77831000019, 36.8186100001907)
"4278","6006464",154,c(-119.825619999766, 36.7861299998808)
"4279","6006472",164,c(-119.766500000508, 36.7462500003647)
"4280","6006480",110,c(-119.740329999929, 36.7803490003608)
"4281","6006514",144,c(-119.762429999947, 36.8004900000874)
"4282","6006522",110,c(-119.717389999666, 36.7549600000218)
"4283","6006530",110,c(-119.732779999559, 36.7952100003761)
"4284","6006548",110,c(-119.744160000517, 36.8023899995955)
"4285","6006555",144,c(-119.779510000441, 36.7553100001759)
"4286","6006563",154,c(-119.836729999766, 36.793159999808)
"4287","6006571",164,c(-119.762080000339, 36.7309499999035)
"4288","6006589",144,c(-119.760339999734, 36.7749999995733)
"4289","6006597",144,c(-119.771150000525, 36.811619999629)
"4290","6006605",164,c(-119.794000000243, 36.6953700000506)
"4291","6006613",164,c(-119.794069999781, 36.6965200001765)
"4292","6006647",31,c(-120.099449999895, 36.5331400002938)
"4293","6006654",79,c(-119.917719999496, 36.8264299998302)
"4294","6006662",81,c(-119.951219999719, 36.7274000000413)
"4295","6006688",58,c(-120.055709999862, 36.7250999999109)
"4296","6006696",41,c(-120.066080000371, 36.725430000083)
"4297","6006704",78,c(-119.546599999614, 36.5119000004236)
"4298","6006712",78,c(-119.557320000406, 36.5116699999951)
"4299","6006720",78,c(-119.553139999641, 36.5167800004051)
"4300","6006738",86,c(-119.398309999923, 36.6106899996678)
"4301","6006746",61,c(-119.321910000155, 36.6167500002559)
"4302","6006753",664,c(-119.117129999913, 36.734409999706)
"4303","6006761",88,c(-119.443640000432, 36.5993200002525)
"4304","6006787",88,c(-119.437879999894, 36.5928899997067)
"4305","6006795",64,c(-119.3144, 36.6284999995713)
"4306","6006803",88,c(-119.445999999741, 36.6011599997131)
"4307","6006829",66,c(-119.383369999989, 36.6848800004214)
"4308","6006837",88,c(-119.483350000227, 36.6090000004038)
"4309","6006845",61,c(-119.317150000317, 36.6181500003248)
"4310","6006878",88,c(-119.452920000068, 36.5921200001438)
"4311","6006894",40,c(-119.688120000455, 36.4315099998497)
"4312","6006902",40,c(-119.688100000509, 36.4315500003794)
"4313","6006910",169,c(-119.861340000065, 36.7295200001165)
"4314","6006936",154,c(-119.873560000541, 36.767210000196)
"4315","6006944",154,c(-119.871790000004, 36.7657099998855)
"4316","6006951",110,c(-119.924599999906, 36.7737199995589)
"4317","6006969",30,c(-120.387230000027, 36.7595499998028)
"4318","6006977",33,c(-120.382950000279, 36.7486000001079)
"4319","6006985",30,c(-120.383229999458, 36.7552900003138)
"4320","6006993",87,c(-119.736510000183, 36.5642499995569)
"4321","6007009",128,c(-119.780869999961, 36.6828000001206)
"4322","6007025",99,c(-119.753379999787, 36.6013900001147)
"4323","6007033",91,c(-119.528409999962, 36.6147550003111)
"4324","6007041",91,c(-119.552990000445, 36.612679999864)
"4325","6007058",91,c(-119.524160000058, 36.6076400001956)
"4326","6007066",872,c(-119.369000000045, 37.0612699999182)
"4327","6007074",62,c(-119.906279999921, 36.6005399998368)
"4328","6007082",37,c(-119.864019999541, 36.4343799999284)
"4329","6007090",37,c(-119.855089999679, 36.4264900000344)
"4330","6007108",71,c(-119.501369999788, 36.7318199995693)
"4331","6007116",95,c(-119.597660000314, 36.6566599996001)
"4332","6007124",86,c(-119.566159999503, 36.7805499998153)
"4333","6007132",86,c(-119.562750000402, 36.7130200001715)
"4334","6007140",71,c(-119.543820000475, 36.7008600000316)
"4335","6007157",103,c(-119.675249999614, 36.733990000251)
"4336","6007165",71,c(-119.560010000126, 36.6964299996055)
"4337","6007173",103,c(-119.682839999465, 36.6986799997183)
"4338","6007181",86,c(-119.570189999609, 36.695180000174)
"4339","6007207",71,c(-119.56064000051, 36.7006900002774)
"4340","6007215",71,c(-119.548209999446, 36.7080600003644)
"4341","6007223",34,c(-120.187080000196, 36.6091799996926)
"4342","6007231",92,c(-119.61398999963, 36.5841600001169)
"4343","6007256",94,c(-119.625320000146, 36.5646000002193)
"4344","6007280",92,c(-119.583239999634, 36.5910799999589)
"4345","6007298",92,c(-119.609140000381, 36.5714100001174)
"4346","6007314",92,c(-119.608129999583, 36.5766400002542)
"4347","6007322",63,c(-119.682299999554, 36.5480199997772)
"4348","6007348",92,c(-119.603150000327, 36.572029999596)
"4349","6007371",43,c(-120.087730000422, 36.7735600004257)
"4350","6007389",110,c(-119.890109999611, 36.8027999998156)
"4351","6007397",30,c(-120.252130000175, 36.6445799998428)
"4352","6007405",128,c(-119.788509999934, 36.6492100000141)
"4353","6007413",169,c(-119.854179999938, 36.6941499998493)
"4354","6007421",66,c(-120.14268000001, 36.4001599999801)
"4355","6007439",378,c(-122.08455000053, 39.7975500001551)
"4356","6007447",314,c(-122.016010000579, 39.7399300002661)
"4357","6007454",416,c(-122.159210000334, 39.7693500000149)
"4358","6007470",424,c(-122.183450000426, 39.7392900004116)
"4359","6007488",419,c(-122.190810000213, 39.7452199995626)
"4360","6007496",419,c(-122.192599999748, 39.7411800001942)
"4361","6007504",388,c(-122.105460000319, 39.7106400002787)
"4362","6007546",464,c(-122.541430000463, 39.6072899995933)
"4363","6007553",487,c(-122.549980000176, 39.3802200001893)
"4364","6007603",313,c(-122.20183000038, 39.5273599999287)
"4365","6007611",313,c(-122.207020000181, 39.5147199995471)
"4366","6007660",1135,c(-124.067899999763, 40.8569800003454)
"4367","6007678",1191,c(-124.085620000186, 40.88240999964)
"4368","6007686",1397,c(-124.131110000073, 41.1574099998131)
"4369","6007694",1584,c(-123.991400000398, 40.8852499998553)
"4370","6007710",1891,c(-123.796429999423, 40.4710399995813)
"4371","6007728",1386,c(-124.042540000406, 40.5378099996198)
"4372","6007736",1122,c(-124.143419999962, 40.7663599997056)
"4373","6007744",1151,c(-124.147110000186, 40.7324800000803)
"4374","6007751",1122,c(-124.178709999672, 40.7769099999957)
"4375","6007777",1122,c(-124.162179999719, 40.7705600002465)
"4376","6007793",1122,c(-124.132590000294, 40.7943900001998)
"4377","6007827",1122,c(-124.142779999924, 40.7783700003023)
"4378","6007843",1078,c(-124.267589999472, 40.577639999879)
"4379","6007850",1514,c(-124.034409999769, 40.9565799996343)
"4380","6007868",1162,c(-124.158499999727, 40.596870000174)
"4381","6007876",1162,c(-124.144709999511, 40.589120000118)
"4382","6007884",1170,c(-124.082370000505, 40.7859499996336)
"4383","6007892",1388,c(-124.061499999845, 40.7614400003818)
"4384","6007918",2412,c(-123.867139999673, 41.0207400000687)
"4385","6007942",1272,c(-124.093170000021, 40.5491400000456)
"4386","6007959",1135,c(-124.067859999818, 40.8468500002547)
"4387","6007967",1767,c(-123.676180000575, 41.0506900001411)
"4388","6007975",1562,c(-123.542470000394, 41.3016800002793)
"4389","6007983",2844,c(-123.865990000398, 41.3501200002454)
"4390","6007991",1890,c(-123.639900000404, 40.9494999998935)
"4391","6008007",2315,c(-123.696599999983, 41.1898600000661)
"4392","6008015",1901,c(-123.944390000241, 40.7264599997616)
"4393","6008023",1085,c(-124.218456000236, 40.6439729995519)
"4394","6008031",1951,c(-123.870380000406, 40.7603699995432)
"4395","6008049",2475,c(-124.285549999893, 40.3216999995633)
"4396","6008056",1300,c(-124.096929999466, 40.9771700003662)
"4397","6008064",1300,c(-124.098769999485, 40.9462199997126)
"4398","6008072",1300,c(-124.109599999702, 40.9499799999991)
"4399","6008080",1995,c(-124.058250000373, 41.2870300002115)
"4400","6008098",1191,c(-124.092700000285, 40.8949699996116)
"4401","6008106",1092,c(-124.183020000361, 40.8222500000926)
"4402","6008114",1272,c(-124.104479999778, 40.5018299998032)
"4403","6008122",1272,c(-124.103170000363, 40.5016900002667)
"4404","6008130",1162,c(-124.132170000089, 40.5802100002017)
"4405","6008148",1162,c(-124.136550000164, 40.568519999983)
"4406","6008155",1550,c(-124.100659999458, 40.4817600000017)
"4407","6008163",1122,c(-124.181850000077, 40.7587899996738)
"4408","6008171",1068,c(-124.208160000265, 40.7348399997114)
"4409","6008197",1514,c(-123.623110000501, 40.2414499999826)
"4410","6008213",1674,c(-123.824280000191, 40.1190299995952)
"4411","6008221",1514,c(-123.924239999789, 40.3201800001252)
"4412","6008239",2155,c(-123.937110000019, 40.0193500001034)
"4413","6008247",1192,c(-124.143879999663, 41.0603599998616)
"4414","6008262",26,c(-115.535550000078, 32.9813000004207)
"4415","6008270",26,c(-115.527230000133, 32.9723200004285)
"4416","6008288",26,c(-115.518470000088, 32.9841200000749)
"4417","6008296",26,c(-115.540579999927, 32.9723799999312)
"4418","6008304",26,c(-115.545179999759, 32.985030000012)
"4419","6008346",31,c(-115.487959999843, 32.6737499998134)
"4420","6008361",31,c(-115.481090000473, 32.6711500000751)
"4421","6008379",31,c(-115.495709999592, 32.6778999997324)
"4422","6008387",25,c(-115.510469999833, 32.6781199999626)
"4423","6008395",19,c(-115.520319999982, 33.1237300003557)
"4424","6008403",18,c(-115.517349999642, 33.2374699995844)
"4425","6008411",20,c(-115.574619999788, 32.7788699997111)
"4426","6008429",24,c(-115.557439999582, 32.7768299995666)
"4427","6008437",24,c(-115.559519999496, 32.7846199999272)
"4428","6008445",24,c(-115.558170000341, 32.8016599996886)
"4429","6008452",20,c(-115.566339999982, 32.7945000001648)
"4430","6008460",20,c(-115.574810000494, 32.7880799999613)
"4431","6008478",24,c(-115.560330000355, 32.8033300004447)
"4432","6008486",24,c(-115.543839999658, 32.7915100000211)
"4433","6008494",20,c(-115.567899999688, 32.7868199997194)
"4434","6008502",21,c(-115.529229999653, 32.7254100003688)
"4435","6008510",18,c(-115.372720000364, 32.8131970000365)
"4436","6008528",18,c(-115.369529999697, 32.8165999996308)
"4437","6008536",20,c(-115.381229999864, 32.8939300003447)
"4438","6008551",18,c(-115.576939999706, 32.8459299999905)
"4439","6008569",18,c(-115.571470000212, 32.8553599998407)
"4440","6008585",21,c(-115.422979999885, 32.9824400004258)
"4441","6008593",20,c(-115.595369999882, 32.7515100000461)
"4442","6008619",20,c(-115.474840000074, 32.8005000003053)
"4443","6008627",20,c(-115.417729999537, 33.0440499997784)
"4444","6008635",42,c(-114.598284786374, 32.7495810650268)
"4445","6008643",13,c(-115.691799999897, 32.7953700001291)
"4446","6008650",22,c(-115.618030000477, 33.0352400003922)
"4447","6008692",26,c(-118.289030000226, 37.1617299997387)
"4448","6008700",68,c(-118.402840000424, 37.3629700003562)
"4449","6008726",68,c(-118.405960000366, 37.364540000371)
"4450","6008742",10,c(-116.273630000302, 35.9487099997809)
"4451","6008775",50,c(-118.063090000258, 36.6086000002677)
"4452","6008791",150,c(-118.196710000126, 36.802980000397)
"4453","6008809",34,c(-118.585940000121, 37.4187599996439)
"4454","6008817",8,c(-118.82755999974, 35.2051999999837)
"4455","6008833",8,c(-118.827019999635, 35.2025799997592)
"4456","6008841",19,c(-118.937359999617, 35.4009699999653)
"4457","6008858",17,c(-119.047749999701, 35.3650100000975)
"4458","6008866",12,c(-118.995760000125, 35.3388699999205)
"4459","6008874",17,c(-119.032949999671, 35.3444700002671)
"4460","6008882",23,c(-118.971400000484, 35.3950199998035)
"4461","6008890",23,c(-118.955010000516, 35.4019600001976)
"4462","6008916",17,c(-119.010790000367, 35.3603600002223)
"4463","6008924",17,c(-119.027249999616, 35.3338599995993)
"4464","6008932",17,c(-119.030099999844, 35.3741000001749)
"4465","6008940",12,c(-118.997799999944, 35.3570499998593)
"4466","6008957",17,c(-119.012930000505, 35.3476400003069)
"4467","6008965",23,c(-118.952989999707, 35.390029999571)
"4468","6008973",23,c(-118.938390000307, 35.3995299997659)
"4469","6008981",23,c(-118.957309999579, 35.3764100003593)
"4470","6008999",19,c(-118.917309999547, 35.3794900002669)
"4471","6009005",17,c(-119.045730000177, 35.3440100001747)
"4472","6009013",23,c(-118.98709000037, 35.3874000000146)
"4473","6009021",23,c(-118.951089999636, 35.3899400003386)
"4474","6009047",17,c(-119.006400000531, 35.3244800002524)
"4475","6009062",32,c(-119.001400000083, 35.389110000161)
"4476","6009070",17,c(-119.008610000499, 35.3603399998534)
"4477","6009088",12,c(-118.968800000127, 35.3644999996366)
"4478","6009096",17,c(-119.044980000223, 35.3482699997404)
"4479","6009104",23,c(-118.98380000029, 35.3985500000782)
"4480","6009120",10,c(-118.935689999489, 35.3695400003699)
"4481","6009138",12,c(-118.993079999766, 35.3656000003872)
"4482","6009146",17,c(-119.028339999469, 35.3565000003411)
"4483","6009153",12,c(-118.950939999918, 35.3714400002266)
"4484","6009161",10,c(-118.918009999868, 35.3684800001522)
"4485","6009179",23,c(-118.980740000193, 35.3991699997717)
"4486","6009187",17,c(-119.012879999468, 35.3402100004221)
"4487","6009195",17,c(-119.02867000031, 35.3656300000534)
"4488","6009203",23,c(-118.976569999489, 35.3774299999214)
"4489","6009211",32,c(-119.040490000388, 35.4078900001104)
"4490","6009229",32,c(-119.040650000473, 35.4077599995898)
"4491","6009237",32,c(-119.042360000091, 35.4151899996961)
"4492","6009252",164,c(-118.837200000245, 35.7037099996676)
"4493","6009260",12,c(-119.129620000129, 35.2955799996728)
"4494","6009278",18,c(-119.475410000091, 35.4005300003417)
"4495","6009294",30,c(-117.65775999997, 35.6300199996951)
"4496","6009310",30,c(-117.66245000021, 35.636229999638)
"4497","6009328",30,c(-117.66393900026, 35.6403290003721)
"4498","6009344",44,c(-119.262440000212, 35.7838300000873)
"4499","6009351",50,c(-119.238610000416, 35.7750400000302)
"4500","6009369",50,c(-119.233470000091, 35.7668599995771)
"4501","6009377",44,c(-119.255200000254, 35.771900000132)
"4502","6009393",50,c(-119.2414399998, 35.7825699998704)
"4503","6009419",16,c(-118.786959999739, 35.237579999701)
"4504","6009435",10,c(-118.87730000044, 35.3478100003905)
"4505","6009443",10,c(-118.898210000233, 35.3660999997749)
"4506","6009450",16,c(-119.354839999972, 35.2982099996357)
"4507","6009468",300,c(-118.887390000487, 34.8729900004038)
"4508","6009476",297,c(-118.939750000296, 34.8228399997491)
"4509","6009500",12,c(-118.947450000271, 35.3611200000468)
"4510","6009534",7,c(-119.023440000028, 35.2223100000365)
